index,timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses
1,2020-02-01 00:00:00,0.10,8.20,8.10,0.00,8.18,45.0,0.2,1,0,0,1,0,0,0,0
2,2020-02-01 00:00:10,7.20,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1
3,2020-02-01 00:00:20,7.40,8.00,7.80,0.15,7.95,47.0,7.1,0,1,1,0,0,0,0,1
4,2020-02-01 00:00:30,7.10,7.90,7.70,0.20,7.86,48.0,7.0,0,1,1,0,0,1,0,1
5,2020-02-01 00:00:40,0.20,8.25,8.00,0.00,8.20,49.0,4.0,1,0,0,1,0,0,0,0
6,2020-02-01 00:00:50,6.90,7.80,7.50,0.25,7.76,50.0,7.3,0,1,0,0,1,0,0,1
7,2020-02-01 00:01:00,7.30,8.05,7.90,0.10,8.00,52.0,7.0,0,1,1,0,0,0,0,1
8,2020-02-01 00:01:10,0.10,8.30,8.10,0.00,8.25,53.0,0.1,1,0,1,1,0,0,0,0
9,2020-02-02 00:00:00,7.50,8.00,7.80,0.12,7.95,55.0,7.2,0,1,0,0,0,0,0,1
10,2020-02-02 00:00:10,7.00,7.70,7.40,0.30,7.65,56.0,7.4,0,1,0,0,1,0,0,1
11,2020-02-02 00:00:20,0.15,8.30,8.20,0.00,8.27,57.0,4.1,1,0,1,1,0,0,1,0
12,2020-02-02 00:00:30,7.60,8.10,7.95,0.08,8.05,58.0,13.0,0,1,1,0,0,0,0,1
3,2020-02-01 00:00:20,7.40,8.00,7.80,0.15,7.95,47.0,7.1,0,1,1,0,0,0,0,1
13,,7.20,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1
not-an-id,2020-02-03 00:00:00,7.20,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1
15,2020-02-03 00:00:10,7.20,8.10,7.90,0.10,8.06,200.0,6.8,0,1,0,0,0,0,0,1
16,2020-02-03 00:00:20,7.20,8.10,7.90,0.10,8.06,46.0,6.8,2,1,0,0,0,0,0,1
17,2020-02-03 00:00:30,7.20,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,-1
18,2020-02-03 00:00:40,30.0,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1
19,2020-02-03 00:00:50,7.20,8.10,7.90,0.10,8.06,46.0,60.0,0,1,0,0,0,0,0,1
20,2020-02-03 00:01:00,,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1
21,2019-12-31 23:59:59,7.20,8.10,7.90,0.10,8.06,46.0,6.8,0,1,0,0,0,0,0,1

